"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.951015190E-1,5.499265343E-2,1.274285018E-1,3.636439145E-1,3.892288678E-1
3.976280300E-1,4.966649041E-2,1.412765235E-1,3.647091687E-1,3.942570152E-1
4.001544880E-1,4.860125855E-2,1.497983932E-1,3.636439145E-1,3.962808820E-1
4.026809460E-1,3.688369319E-2,1.529940963E-1,3.604482114E-1,3.933071490E-1
4.052074050E-1,3.581846133E-2,1.604507267E-1,3.636439145E-1,3.990793084E-1
4.077338630E-1,2.942706272E-2,1.657768935E-1,3.636439145E-1,4.007303669E-1
4.102603210E-1,2.729659714E-2,1.657768935E-1,3.636439145E-1,4.005795541E-1
4.127868320E-1,2.623136342E-2,1.700378209E-1,3.636439145E-1,4.022907425E-1
4.153132900E-1,2.516612969E-2,1.721682847E-1,3.625786901E-1,4.021673269E-1
4.179226650E-1,2.836182900E-2,1.679073572E-1,3.647091687E-1,4.025047225E-1
4.204491230E-1,3.368799388E-2,1.657768935E-1,3.679048419E-1,4.049331205E-1
4.229755820E-1,3.901416063E-2,1.561897993E-1,3.668396175E-1,4.006103632E-1
4.255020400E-1,4.434032366E-2,1.561897993E-1,3.657743931E-1,4.001902352E-1
4.280285500E-1,5.286218971E-2,1.551245600E-1,3.679048419E-1,4.027555250E-1
4.305550090E-1,6.351451576E-2,1.497983932E-1,3.668396175E-1,4.013040709E-1
4.330814670E-1,7.097115368E-2,1.497983932E-1,3.679048419E-1,4.035225346E-1
4.356079250E-1,7.842778414E-2,1.508636326E-1,3.689700961E-1,4.062630734E-1
4.381343840E-1,8.801487833E-2,1.508636326E-1,3.668396175E-1,4.062976242E-1
4.406608420E-1,9.973244369E-2,1.487331539E-1,3.689700961E-1,4.101305197E-1
4.431873530E-1,1.061238423E-1,1.476679295E-1,3.711005449E-1,4.132598478E-1
4.457138110E-1,1.146457046E-1,1.476679295E-1,3.700353205E-1,4.145788145E-1
