Time (s),x,y,z
1.654694695305956e+18,11.92500019,39.22500229,-20.625
1.654694695315956e+18,11.70000076,39.60000229,-20.47500038
1.654694695325956e+18,11.77500057,39.52500153,-20.40000153
1.654694695335956e+18,11.55000019,39.75,-20.47500038
1.6546946953459564e+18,11.17500019,39.90000153,-20.55000114
1.6546946953559562e+18,10.95000076,40.05000305,-20.40000153
1.6546946953659564e+18,10.80000019,40.20000076,-20.25
1.6546946953759562e+18,10.27500057,40.5,-19.80000114
1.6546946953859564e+18,9.900000572,41.02500153,-19.57500076
1.6546946953959562e+18,9.600000381,41.10000229,-19.42500114
1.6546946954059564e+18,9.150000572,41.17500305,-19.27500153
1.6546946954159562e+18,8.625,41.17500305,-19.05000114
1.6546946954259564e+18,8.025000572,41.25,-18.75
1.6546946954359562e+18,7.875000477,41.40000153,-18.75
1.6546946954459564e+18,7.725000381,41.25,-18.375
1.6546946954559562e+18,7.725000381,41.40000153,-18.30000114
1.6546946954659564e+18,7.350000381,41.47500229,-18.07500076
1.6546946954759562e+18,7.200000286,41.55000305,-17.70000076
1.6546946954859564e+18,7.125000477,41.85000229,-17.10000038
1.6546946954959562e+18,7.275000095,41.92500305,-16.65000153
1.654694695505956e+18,7.575000286,41.92500305,-16.27500153
1.654694695515956e+18,7.500000477,42.15000153,-15.97500038
1.654694695525956e+18,7.575000286,42.45000076,-15.90000057
1.654694695535956e+18,7.800000191,42.30000305,-15.52500057
1.654694695545956e+18,7.575000286,42.45000076,-15.37500095
1.654694695555956e+18,7.575000286,42.60000229,-15.22500038
1.654694695565956e+18,7.575000286,42.67500305,-15.30000019
1.654694695575956e+18,7.425000191,42.90000153,-15.30000019
1.654694695585956e+18,7.275000095,42.82500076,-15.22500038
1.6546946955959562e+18,7.050000191,42.67500305,-15.00000095
1.6546946956059564e+18,6.600000381,42.52500153,-14.85000038
1.6546946956159562e+18,6.150000095,42.60000229,-14.77500057
1.6546946956259564e+18,6.075000286,42.75,-14.70000076
1.6546946956359562e+18,6.0,42.90000153,-14.47500038
1.6546946956459564e+18,6.0,42.67500305,-14.25000095
1.6546946956559562e+18,5.775000095,42.67500305,-14.02500057
1.6546946956659564e+18,5.550000191,43.05000305,-13.87500095
1.6546946956759562e+18,5.400000095,43.20000076,-13.65000057
1.6546946956859564e+18,5.475000381,43.42500305,-13.50000095
1.6546946956959562e+18,5.400000095,43.80000305,-13.35000038
1.6546946957059564e+18,5.100000381,43.80000305,-12.97500038
1.6546946957159562e+18,4.800000191,43.35000229,-12.60000038
1.6546946957259564e+18,4.425000191,43.65000153,-12.30000019
1.6546946957359562e+18,4.200000286,43.57500076,-12.22500038
1.6546946957459564e+18,3.975000143,43.5,-11.85000038
1.654694695755956e+18,3.675000191,43.42500305,-11.85000038
1.654694695765956e+18,3.300000191,43.5,-11.70000076
1.654694695775956e+18,3.075000048,43.20000076,-11.25
1.654694695785956e+18,2.850000143,43.20000076,-11.10000038
1.654694695795956e+18,2.775000095,43.27500153,-10.95000076
1.654694695805956e+18,2.700000048,43.05000305,-10.72500038
1.654694695815956e+18,2.625,43.27500153,-10.65000057
1.654694695825956e+18,2.550000191,43.27500153,-10.65000057
1.654694695835956e+18,2.475000143,43.27500153,-10.35000038
1.6546946958459564e+18,2.550000191,43.20000076,-10.125
1.6546946958559562e+18,2.25,43.42500305,-10.42500019
1.6546946958659564e+18,2.100000143,43.5,-10.42500019
1.6546946958759562e+18,2.025000095,43.65000153,-10.5
1.6546946958859564e+18,2.175000191,43.80000305,-10.42500019
1.6546946958959562e+18,2.25,43.875,-10.20000076
1.6546946959059564e+18,2.25,43.95000076,-10.125
1.6546946959159562e+18,2.475000143,44.02500153,-10.20000076
1.6546946959259564e+18,2.475000143,44.02500153,-10.20000076
1.6546946959359562e+18,2.775000095,43.95000076,-10.20000076
1.6546946959459564e+18,3.450000048,43.72500229,-10.42500019
1.6546946959559562e+18,3.600000143,43.57500076,-10.72500038
1.6546946959659564e+18,3.825000048,43.35000229,-11.32500076
1.6546946959759562e+18,3.975000143,42.90000153,-11.77500057
1.6546946959859564e+18,4.425000191,42.67500305,-12.37500095
1.6546946959959562e+18,4.650000095,42.45000076,-12.82500076
1.654694696005956e+18,5.175000191,42.15000153,-13.50000095
1.654694696015956e+18,5.925000191,41.77500153,-14.32500076
1.654694696025956e+18,6.375000477,41.47500229,-15.15000057
1.654694696035956e+18,6.900000095,41.25,-15.75000095
1.654694696045956e+18,7.500000477,40.95000076,-16.5
1.654694696055956e+18,8.175000191,40.80000305,-17.10000038
1.654694696065956e+18,8.850000381,40.42500305,-17.77500153
1.654694696075956e+18,9.300000191,40.05000305,-18.375
1.654694696085956e+18,9.900000572,39.75,-18.82500076
1.6546946960959562e+18,10.35000038,39.52500153,-19.05000114
1.6546946961059564e+18,10.80000019,39.22500229,-19.27500153
1.6546946961159562e+18,11.40000057,39.0,-19.72500038
1.6546946961259564e+18,11.85000038,38.70000076,-19.95000076
1.6546946961359562e+18,12.37500095,38.25,-20.10000038
1.6546946961459564e+18,12.75000095,37.80000305,-20.32500076
1.6546946961559562e+18,13.35000038,37.27500153,-20.625
1.6546946961659564e+18,13.72500038,37.05000305,-20.85000038
1.6546946961759562e+18,14.10000038,36.75,-21.0
1.6546946961859564e+18,14.40000057,36.45000076,-21.07500076
1.6546946961959562e+18,14.92500019,36.07500076,-21.07500076
1.6546946962059564e+18,15.37500095,35.85000229,-21.07500076
1.6546946962159562e+18,15.60000038,35.55000305,-21.375
1.6546946962259564e+18,15.60000038,35.55000305,-21.60000038
1.6546946962359562e+18,15.67500019,35.47500229,-21.82500076
1.6546946962459564e+18,15.90000057,35.17500305,-22.125
1.654694696255956e+18,15.97500038,34.95000076,-22.27500153
1.654694696265956e+18,15.97500038,34.72500229,-22.65000153
1.654694696275956e+18,15.82500076,34.72500229,-22.875
