"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.523094400E-1,7.989247679E-4,2.130466048E-3,1.331541280E-4,2.279231534E-3
3.548430330E-1,-1.331541222E-3,-1.065233024E-3,-1.997311832E-3,2.626209812E-3
3.573758980E-1,1.864157850E-3,3.195699072E-3,-9.320789250E-4,3.815278256E-3
3.599107940E-1,7.989247679E-4,1.065233024E-3,1.331541280E-4,1.338182425E-3
3.624372520E-1,1.864157850E-3,-1.065233024E-3,2.263620263E-3,3.119901053E-3
3.649768360E-1,-1.331541222E-3,1.065233024E-3,1.331541280E-4,1.710395697E-3
3.675351690E-1,7.989247679E-4,1.065233024E-3,2.263620263E-3,2.626209983E-3
3.700580860E-1,1.864157850E-3,3.195699072E-3,-9.320789250E-4,3.815278256E-3
3.725793360E-1,1.864157850E-3,2.130466048E-3,-3.062544856E-3,4.170509689E-3
3.750988670E-1,7.989247679E-4,6.391398143E-3,2.263620263E-3,6.827314824E-3
3.776486580E-1,-2.396774245E-3,3.195699072E-3,1.198387123E-3,4.170509685E-3
3.802012630E-1,1.864157850E-3,0.000000000E0,1.198387123E-3,2.216126392E-3
3.827336060E-1,7.989247679E-4,1.065233024E-3,2.263620263E-3,2.626209983E-3
3.852437630E-1,-2.396774245E-3,3.195699072E-3,1.198387123E-3,4.170509685E-3
3.878020960E-1,1.864157850E-3,0.000000000E0,1.331541280E-4,1.868907304E-3
3.903105330E-1,-1.331541222E-3,0.000000000E0,1.198387123E-3,1.791405515E-3
3.928680860E-1,-3.462007269E-3,2.130466048E-3,1.331541280E-4,4.067199274E-3
3.953764710E-1,-1.331541222E-3,1.065233024E-3,1.198387123E-3,2.084191718E-3
3.979355860E-1,5.059856921E-3,2.130466048E-3,1.198387123E-3,5.619356666E-3
4.004429810E-1,1.864157850E-3,5.326164886E-3,2.263620263E-3,6.080057038E-3
4.029647000E-1,-2.663082560E-4,1.065233024E-3,1.331541280E-4,1.106061257E-3
