"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.335955267E0,7.275000095E0,-2.647500038E1,-2.133000031E2
2.345955267E0,7.200000286E0,-2.647500038E1,-2.135250092E2
2.355955267E0,7.200000286E0,-2.670000076E1,-2.135250092E2
2.365955267E0,7.275000095E0,-2.655000114E1,-2.134500122E2
2.375955267E0,7.125000477E0,-2.662500191E1,-2.134500122E2
2.385955267E0,7.275000095E0,-2.677500153E1,-2.133750153E2
2.395955267E0,7.200000286E0,-2.670000076E1,-2.133750153E2
2.405955267E0,7.200000286E0,-2.677500153E1,-2.134500122E2
2.415955267E0,7.350000381E0,-2.677500153E1,-2.133750153E2
2.425955267E0,7.425000191E0,-2.685000038E1,-2.130000153E2
2.435955267E0,7.575000286E0,-2.662500191E1,-2.130750122E2
2.445955267E0,7.650000095E0,-2.677500153E1,-2.133750153E2
2.455955267E0,7.725000381E0,-2.677500153E1,-2.134500122E2
2.465955267E0,7.500000477E0,-2.670000076E1,-2.134500122E2
2.475955267E0,7.575000286E0,-2.662500191E1,-2.135250092E2
2.485955267E0,7.650000095E0,-2.655000114E1,-2.134500122E2
2.495955267E0,7.500000477E0,-2.655000114E1,-2.133750153E2
2.505955267E0,7.575000286E0,-2.655000114E1,-2.134500122E2
2.515955267E0,7.425000191E0,-2.655000114E1,-2.135250092E2
2.525955267E0,7.275000095E0,-2.632500076E1,-2.133750153E2
2.535955267E0,7.200000286E0,-2.632500076E1,-2.133000031E2
2.545955267E0,7.350000381E0,-2.632500076E1,-2.133750153E2
2.555955267E0,7.200000286E0,-2.632500076E1,-2.132250061E2
2.565955267E0,7.050000191E0,-2.632500076E1,-2.131500092E2
2.575955267E0,7.200000286E0,-2.640000153E1,-2.130750122E2
2.585955267E0,7.275000095E0,-2.655000114E1,-2.130750122E2
2.595955267E0,7.425000191E0,-2.647500038E1,-2.128500061E2
2.605955267E0,7.650000095E0,-2.647500038E1,-2.127750092E2
2.615955267E0,7.725000381E0,-2.655000114E1,-2.127750092E2
2.625955267E0,7.650000095E0,-2.662500191E1,-2.127000122E2
2.635955267E0,7.800000191E0,-2.670000076E1,-2.126250153E2
2.645955267E0,7.950000286E0,-2.677500153E1,-2.125500031E2
2.655955267E0,7.650000095E0,-2.670000076E1,-2.125500031E2
2.665955267E0,7.350000381E0,-2.662500191E1,-2.125500031E2
2.675955267E0,7.200000286E0,-2.662500191E1,-2.125500031E2
2.685955267E0,7.050000191E0,-2.662500191E1,-2.125500031E2
2.695955267E0,7.050000191E0,-2.662500191E1,-2.125500031E2
2.705955267E0,7.050000191E0,-2.662500191E1,-2.125500031E2
2.715955267E0,6.975000381E0,-2.662500191E1,-2.127750092E2
2.725955267E0,6.900000095E0,-2.662500191E1,-2.130000153E2
2.735955267E0,7.050000191E0,-2.647500038E1,-2.129250031E2
2.745955267E0,7.200000286E0,-2.632500076E1,-2.128500061E2
2.755955267E0,7.125000477E0,-2.610000038E1,-2.129250031E2
2.765955267E0,7.050000191E0,-2.587500191E1,-2.130750122E2
2.775955267E0,6.825000286E0,-2.587500191E1,-2.130000153E2
2.785955267E0,6.675000191E0,-2.587500191E1,-2.128500061E2
2.795955267E0,6.675000191E0,-2.587500191E1,-2.127750092E2
2.805955267E0,6.675000191E0,-2.587500191E1,-2.127000122E2
2.815955267E0,6.750000477E0,-2.595000076E1,-2.127750092E2
2.825955267E0,6.825000286E0,-2.602500153E1,-2.128500061E2
2.835955267E0,7.050000191E0,-2.655000114E1,-2.128500061E2
2.845955267E0,7.200000286E0,-2.700000191E1,-2.128500061E2
2.855955267E0,7.350000381E0,-2.692500114E1,-2.129250031E2
2.865955267E0,7.500000477E0,-2.685000038E1,-2.130000153E2
2.875955267E0,7.500000477E0,-2.685000038E1,-2.131500092E2
2.885955267E0,7.500000477E0,-2.677500153E1,-2.133750153E2
2.895955267E0,7.425000191E0,-2.677500153E1,-2.133750153E2
2.905955267E0,7.275000095E0,-2.670000076E1,-2.133750153E2
2.915955267E0,7.275000095E0,-2.655000114E1,-2.135250092E2
2.925955267E0,7.275000095E0,-2.625000191E1,-2.133750153E2
2.935955267E0,7.200000286E0,-2.617500114E1,-2.134500122E2
2.945955267E0,7.200000286E0,-2.625000191E1,-2.134500122E2
2.955955267E0,7.200000286E0,-2.632500076E1,-2.133750153E2
2.965955267E0,7.200000286E0,-2.632500076E1,-2.133000031E2
2.975955267E0,7.125000477E0,-2.632500076E1,-2.135250092E2
2.985955267E0,7.125000477E0,-2.640000153E1,-2.135250092E2
2.995955267E0,6.900000095E0,-2.647500038E1,-2.132250061E2
3.005955267E0,6.600000381E0,-2.655000114E1,-2.133750153E2
3.015955267E0,6.675000191E0,-2.655000114E1,-2.133750153E2
3.025955267E0,6.675000191E0,-2.655000114E1,-2.133750153E2
3.035955267E0,6.675000191E0,-2.647500038E1,-2.135250092E2
3.045955267E0,6.600000381E0,-2.655000114E1,-2.134500122E2
3.055955267E0,6.825000286E0,-2.662500191E1,-2.132250061E2
3.065955267E0,6.675000191E0,-2.662500191E1,-2.132250061E2
3.075955267E0,6.900000095E0,-2.647500038E1,-2.134500122E2
3.085955267E0,6.975000381E0,-2.662500191E1,-2.136000061E2
